model,manufacturer,type,cylinders,size,drive
civic cpe,honda,coupe,4 cylinders,sub-compact,fwd
seville,cadillac,sedan,8 cylinders,mid-size,fwd
excursion xlt,ford,SUV,8 cylinders,full-size,4wd
g35 coupe,infiniti,coupe,6 cylinders,mid-size,rwd
murano,nissan,SUV,6 cylinders,mid-size,fwd
legacy,subaru,sedan,4 cylinders,compact,4wd
highlander,toyota,SUV,6 cylinders,mid-size,4wd
4runner sport,toyota,SUV,8 cylinders,full-size,4wd
1500 slt 4x4,ram,truck,8 cylinders,full-size,4wd
camry le 4dr sedan,toyota,sedan,4 cylinders,mid-size,fwd
sl-class,mercedes-benz,convertible,8 cylinders,mid-size,rwd
f-350,ford,pickup,8 cylinders,full-size,4wd
escape xlt,ford,SUV,6 cylinders,mid-size,4wd
f450 crew cab 11,ford,truck,8 cylinders,full-size,rwd
cherokee,jeep,SUV,6 cylinders,mid-size,4wd
monterey breezeway,mercury,coupe,8 cylinders,full-size,rwd
sienna le,toyota,mini-van,6 cylinders,mid-size,fwd
jetta tdi,volkswagen,sedan,4 cylinders,compact,fwd
f-150 xlt crewcab 4x4,ford,pickup,8 cylinders,full-size,4wd
avenger se,dodge,sedan,4 cylinders,compact,fwd
explorer 4x4,ford,SUV,6 cylinders,full-size,4wd
transit t150,ford,van,6 cylinders,full-size,rwd
silverado 1500 lt 4x4,chevrolet,truck,8 cylinders,full-size,4wd
silverado 1500,chevrolet,pickup,6 cylinders,full-size,rwd
taurus,ford,sedan,6 cylinders,full-size,fwd
silverado 2500 crewcab,chevrolet,pickup,8 cylinders,full-size,4wd
s-10,chevrolet,truck,6 cylinders,mid-size,4wd
acadia,gmc,SUV,6 cylinders,full-size,fwd
highlander,toyota,SUV,6 cylinders,full-size,4wd
pilot,honda,wagon,6 cylinders,compact,fwd
model s,tesla,sedan,other,full-size,4wd
trailblazer,chevrolet,SUV,6 cylinders,full-size,4wd
tahoe,chevrolet,SUV,8 cylinders,full-size,rwd
c-class,mercedes-benz,sedan,6 cylinders,compact,rwd
f-250 sd,ford,truck,8 cylinders,full-size,rwd
e350 cutaway,ford,van,8 cylinders,full-size,rwd
f-250 xlt,ford,truck,8 cylinders,compact,4wd
wrx,subaru,sedan,4 cylinders,full-size,4wd
civic lx,honda,sedan,4 cylinders,compact,fwd
uplander ls,chevrolet,mini-van,6 cylinders,full-size,fwd
"sprinter 2500, 158""wb",dodge,van,5 cylinders,full-size,rwd
enclave cxl,buick,SUV,6 cylinders,full-size,4wd
soul,kia,wagon,4 cylinders,mid-size,fwd
ranger sport,ford,pickup,6 cylinders,compact,4wd
silverado,chevrolet,truck,8 cylinders,full-size,4wd
5 series,bmw,sedan,6 cylinders,mid-size,4wd
gti,volkswagen,hatchback,4 cylinders,compact,4wd
escalade premium,cadillac,SUV,8 cylinders,full-size,rwd
edge,ford,SUV,6 cylinders,mid-size,4wd
miata mx-5,mazda,convertible,4 cylinders,compact,rwd
x5,bmw,SUV,8 cylinders,full-size,4wd
f-150,ford,truck,6 cylinders,mid-size,4wd
4500 st regular cab fltbd,ram,truck,6 cylinders,full-size,4wd
ranger,ford,pickup,6 cylinders,mid-size,4wd
wrangler,jeep,SUV,6 cylinders,mid-size,rwd
rogue awd,nissan,SUV,4 cylinders,mid-size,4wd
silverado 1500,chevrolet,truck,6 cylinders,full-size,rwd
accent,hyundai,sedan,4 cylinders,sub-compact,fwd
tahoe ltz,chevrolet,SUV,8 cylinders,full-size,rwd
corolla,toyota,sedan,4 cylinders,compact,fwd
silverado,chevrolet,pickup,8 cylinders,full-size,4wd
envoy sle 4wd,gmc,SUV,6 cylinders,mid-size,4wd
transit connect,ford,mini-van,4 cylinders,mid-size,fwd
prius 3,toyota,hatchback,4 cylinders,mid-size,fwd
x5,bmw,SUV,6 cylinders,full-size,4wd
cadenza limited,kia,sedan,6 cylinders,full-size,fwd
corrolla s,toyota,sedan,4 cylinders,sub-compact,fwd
mustang v6 premium,ford,coupe,6 cylinders,mid-size,rwd
tacoma,toyota,truck,4 cylinders,full-size,rwd
f250 super duty lariat,ford,truck,8 cylinders,full-size,4wd
es 330,lexus,sedan,6 cylinders,mid-size,fwd
city express cargo,chevrolet,van,4 cylinders,mid-size,fwd
town & country,chrysler,van,6 cylinders,full-size,fwd
versa note,nissan,hatchback,4 cylinders,sub-compact,fwd
encore,buick,SUV,4 cylinders,mid-size,fwd
camry 2000,toyota,sedan,4 cylinders,mid-size,fwd
silverado 1500,chevrolet,truck,6 cylinders,full-size,4wd
ranger,ford,pickup,6 cylinders,mid-size,rwd
silverado,chevrolet,pickup,8 cylinders,full-size,rwd
sonata limited,hyundai,sedan,4 cylinders,full-size,fwd
cherokee,jeep,SUV,6 cylinders,compact,4wd
3500,ram,truck,6 cylinders,full-size,4wd
bonanza,chevrolet,truck,8 cylinders,full-size,rwd
passat se,volkswagen,sedan,5 cylinders,full-size,fwd
1500 avalanche,chevrolet,truck,8 cylinders,full-size,rwd
silverado,chevrolet,truck,6 cylinders,full-size,4wd
patriot,jeep,SUV,4 cylinders,mid-size,fwd
outlander,mitsubishi,SUV,4 cylinders,compact,fwd
2500,ram,truck,8 cylinders,full-size,rwd
silverado 1500 4x4,chevrolet,pickup,8 cylinders,full-size,4wd
volt premium,chevrolet,sedan,4 cylinders,compact,fwd
325i,bmw,sedan,6 cylinders,compact,rwd
genesis coupe,hyundai,coupe,4 cylinders,mid-size,rwd
c230 kompressor,mercedes-benz,sedan,4 cylinders,mid-size,rwd
wrangler,jeep,SUV,4 cylinders,full-size,4wd
ranier,buick,SUV,5 cylinders,sub-compact,4wd
f-150 xlt,ford,truck,8 cylinders,full-size,rwd
corvette,chevrolet,coupe,8 cylinders,sub-compact,rwd
suburban 1500,chevrolet,SUV,8 cylinders,full-size,rwd
mkz,lincoln,sedan,6 cylinders,mid-size,fwd
pathfinder,nissan,SUV,6 cylinders,mid-size,4wd
box truck,ram,truck,8 cylinders,full-size,4wd
f250 super duty,ford,truck,8 cylinders,full-size,4wd
accord lx,honda,sedan,4 cylinders,full-size,fwd
navigator,lincoln,van,6 cylinders,full-size,4wd
g35 coupe,infiniti,coupe,6 cylinders,compact,rwd
rx350 f sport awd,lexus,SUV,6 cylinders,full-size,4wd
3500 bighorn,ram,truck,8 cylinders,full-size,4wd
enclave,buick,SUV,6 cylinders,full-size,fwd
1500,ram,pickup,6 cylinders,full-size,rwd
econoline commercial cutaway,ford,truck,8 cylinders,full-size,rwd
suburban ltz,chevrolet,SUV,8 cylinders,full-size,rwd
g3500 extended cargo van,chevrolet,van,8 cylinders,full-size,rwd
f150 xl,ford,truck,6 cylinders,full-size,rwd
sierra 1500 denali,gmc,truck,8 cylinders,full-size,4wd
flex,ford,SUV,6 cylinders,full-size,4wd
santa fe,hyundai,SUV,6 cylinders,full-size,4wd
highlander awd,toyota,SUV,6 cylinders,mid-size,4wd
f-550,ford,truck,8 cylinders,full-size,4wd
highlander awd,toyota,SUV,6 cylinders,full-size,4wd
soul,kia,wagon,4 cylinders,compact,fwd
escape,ford,SUV,6 cylinders,full-size,fwd
compass,jeep,SUV,4 cylinders,compact,fwd
optima,kia,sedan,4 cylinders,compact,fwd
express cargo van,chevrolet,van,8 cylinders,full-size,rwd
c-class,mercedes-benz,sedan,4 cylinders,compact,rwd
altima s sedan 2.5l auto,nissan,sedan,4 cylinders,mid-size,fwd
fusion sel,ford,sedan,4 cylinders,mid-size,fwd
