model,manufacturer,type,cylinders,size,drive
c-20,chevrolet,pickup,8 cylinders,full-size,rwd
tacoma trd sport longbed,toyota,truck,6 cylinders,mid-size,4wd
crown victoria lx,ford,sedan,8 cylinders,full-size,rwd
corolla le,toyota,sedan,4 cylinders,compact,fwd
rx 350,lexus,SUV,6 cylinders,mid-size,4wd
e300 4matic,mercedes-benz,sedan,4 cylinders,full-size,4wd
altima sl,nissan,sedan,4 cylinders,full-size,fwd
passat,volkswagen,wagon,4 cylinders,mid-size,fwd
lancer,mitsubishi,sedan,4 cylinders,compact,fwd
rogue,nissan,SUV,4 cylinders,compact,fwd
3,mazda,sedan,4 cylinders,full-size,fwd
terrain,gmc,SUV,4 cylinders,mid-size,fwd
5 series 528i,bmw,sedan,6 cylinders,mid-size,rwd
edge sel,ford,SUV,6 cylinders,mid-size,fwd
accord 1991,honda,sedan,4 cylinders,compact,fwd
forester 2.5 x premium,subaru,wagon,4 cylinders,mid-size,4wd
super duty f-350 drw,ford,pickup,8 cylinders,full-size,4wd
f-250,ford,pickup,6 cylinders,full-size,4wd
titan,nissan,truck,8 cylinders,full-size,rwd
landcruiser,toyota,offroad,6 cylinders,full-size,4wd
outback awd,subaru,wagon,4 cylinders,mid-size,4wd
escalade,cadillac,pickup,8 cylinders,full-size,4wd
silverado 2500 hd,chevrolet,truck,8 cylinders,full-size,rwd
malibu ltz,chevrolet,mini-van,6 cylinders,mid-size,fwd
charger,dodge,sedan,6 cylinders,full-size,rwd
sportage,kia,other,4 cylinders,mid-size,fwd
milan i-4 4dr sedan,mercury,sedan,4 cylinders,compact,fwd
300,chrysler,sedan,6 cylinders,full-size,rwd
slk 230,mercedes-benz,coupe,4 cylinders,compact,rwd
2500,ram,pickup,6 cylinders,full-size,4wd
f-250,ford,pickup,8 cylinders,full-size,rwd
versa sv sedan,nissan,sedan,4 cylinders,compact,fwd
f-150 crew cab,ford,truck,8 cylinders,full-size,fwd
vandura 2500,gmc,van,8 cylinders,full-size,rwd
mx-5 miata,mazda,convertible,4 cylinders,sub-compact,rwd
f150,ford,truck,8 cylinders,full-size,4wd
tundra limited 2owner lo,toyota,pickup,8 cylinders,full-size,rwd
silverado 2500hd,chevrolet,truck,8 cylinders,full-size,fwd
elantra,hyundai,sedan,4 cylinders,compact,fwd
civic,honda,sedan,4 cylinders,sub-compact,fwd
1500,ram,pickup,8 cylinders,full-size,rwd
frontier sv,nissan,truck,4 cylinders,full-size,rwd
e320,mercedes-benz,sedan,6 cylinders,mid-size,rwd
cls550,mercedes-benz,coupe,8 cylinders,full-size,rwd
f150,ford,truck,6 cylinders,full-size,4wd
crv,honda,SUV,4 cylinders,full-size,fwd
terrain awd,gmc,SUV,4 cylinders,full-size,4wd
elantra touring se,hyundai,hatchback,4 cylinders,compact,fwd
cx-7,mazda,SUV,4 cylinders,mid-size,fwd
miata,mazda,convertible,4 cylinders,compact,rwd
rx 330,lexus,SUV,6 cylinders,mid-size,fwd
equinox lt,chevrolet,SUV,4 cylinders,full-size,fwd
murano sl awd,nissan,SUV,6 cylinders,mid-size,4wd
s500,mercedes-benz,sedan,8 cylinders,full-size,rwd
gti 2.0t,volkswagen,wagon,4 cylinders,compact,fwd
grand cherokee,jeep,SUV,6 cylinders,mid-size,rwd
legacy,subaru,sedan,4 cylinders,mid-size,4wd
dts,cadillac,sedan,8 cylinders,full-size,fwd
escape,ford,SUV,6 cylinders,mid-size,4wd
a4 2.0t quattro,audi,sedan,4 cylinders,mid-size,4wd
dakota,dodge,pickup,8 cylinders,mid-size,rwd
f350,ford,truck,8 cylinders,full-size,rwd
grand am,pontiac,sedan,4 cylinders,compact,fwd
f250,ford,truck,8 cylinders,full-size,4wd
equinox,chevrolet,SUV,4 cylinders,full-size,4wd
mazda3,mazda,sedan,4 cylinders,compact,fwd
clk-class 500,mercedes-benz,coupe,8 cylinders,mid-size,rwd
fusion sel awd,ford,sedan,6 cylinders,full-size,4wd
accord cpe,honda,coupe,4 cylinders,mid-size,fwd
hhr lt,chevrolet,truck,4 cylinders,compact,fwd
f550,ford,truck,10 cylinders,full-size,4wd
silverado 1500 lt 4x4,chevrolet,pickup,8 cylinders,full-size,4wd
3500 4x4,ram,pickup,6 cylinders,full-size,4wd
mustang gt,ford,coupe,8 cylinders,mid-size,rwd
fiesta se,ford,sedan,10 cylinders,compact,4wd
sierra 1500,gmc,pickup,8 cylinders,full-size,rwd
freestyle sel,ford,wagon,6 cylinders,mid-size,fwd
cc,volkswagen,sedan,4 cylinders,mid-size,fwd
yukon xl,gmc,SUV,8 cylinders,full-size,4wd
patriot latitude,jeep,SUV,4 cylinders,full-size,4wd
trailblazer,chevrolet,SUV,6 cylinders,mid-size,4wd
wrangler sahara unlimited,jeep,offroad,6 cylinders,full-size,4wd
escape se,ford,SUV,4 cylinders,mid-size,fwd
grand cherokee laredo,jeep,SUV,6 cylinders,full-size,4wd
edge sel,ford,SUV,6 cylinders,mid-size,4wd
3500,chevrolet,truck,8 cylinders,full-size,rwd
sentra s,nissan,sedan,4 cylinders,mid-size,fwd
avalanche lt,chevrolet,truck,8 cylinders,full-size,rwd
f250 lariat 4x4,ford,truck,8 cylinders,full-size,4wd
2500 meg0a cab,ram,pickup,6 cylinders,full-size,4wd
cls 550,mercedes-benz,sedan,8 cylinders,compact,rwd
fj cruiser,toyota,SUV,6 cylinders,full-size,4wd
taurus,ford,sedan,4 cylinders,full-size,4wd
camry,toyota,SUV,4 cylinders,full-size,fwd
camaro,chevrolet,coupe,10 cylinders,mid-size,4wd
sienna le,toyota,mini-van,6 cylinders,full-size,fwd
c-max energi,ford,hatchback,4 cylinders,compact,fwd
cooper,mini,convertible,4 cylinders,mid-size,fwd
express 3500,chevrolet,van,8 cylinders,full-size,rwd
benz e350,mercedes-benz,sedan,6 cylinders,mid-size,4wd
f-150 xlt,ford,truck,8 cylinders,mid-size,4wd
escape s,ford,SUV,4 cylinders,mid-size,fwd
c7e042,gmc,truck,6 cylinders,full-size,rwd
traverse,chevrolet,SUV,6 cylinders,full-size,fwd
altima,nissan,sedan,4 cylinders,full-size,fwd
dart,dodge,sedan,4 cylinders,compact,fwd
500 abarth,fiat,hatchback,4 cylinders,compact,fwd
f-150 xlt 4x4,ford,truck,8 cylinders,full-size,4wd
mustang,ford,coupe,8 cylinders,compact,rwd
clubman,mini,wagon,4 cylinders,compact,fwd
corvette,chevrolet,other,8 cylinders,compact,rwd
nitro slt,dodge,SUV,6 cylinders,full-size,rwd
versa,nissan,sedan,4 cylinders,compact,fwd
g20 van,chevrolet,van,8 cylinders,full-size,rwd
sierra 1500,gmc,pickup,6 cylinders,full-size,rwd
intrepid,dodge,sedan,4 cylinders,mid-size,fwd
wrangler unlimited,jeep,convertible,6 cylinders,full-size,4wd
pathfinder sl,nissan,SUV,6 cylinders,full-size,fwd
4runner sr5,toyota,SUV,6 cylinders,compact,4wd
terrian,gmc,SUV,4 cylinders,mid-size,fwd
f-350 sd,ford,truck,8 cylinders,full-size,rwd
benz s430 4matic,mercedes-benz,sedan,8 cylinders,full-size,4wd
silverado,chevrolet,truck,8 cylinders,full-size,fwd
4runner 4wd,toyota,SUV,6 cylinders,mid-size,4wd
wrangler yj 4x4,jeep,convertible,4 cylinders,mid-size,4wd
sienna,toyota,van,6 cylinders,full-size,4wd
miata mx-5 touring,mazda,convertible,4 cylinders,compact,rwd
cls-class,mercedes-benz,sedan,8 cylinders,mid-size,rwd
challenger,dodge,coupe,10 cylinders,mid-size,4wd
colorado,chevrolet,pickup,4 cylinders,mid-size,rwd
forester,subaru,wagon,4 cylinders,mid-size,4wd
econoline,ford,van,8 cylinders,mid-size,rwd
civic,honda,hatchback,4 cylinders,compact,fwd
1500 tradesman 4wd,ram,truck,8 cylinders,full-size,4wd
1500,ram,truck,8 cylinders,mid-size,rwd
silverado 2500hd 4x4,chevrolet,truck,8 cylinders,full-size,4wd
tundra 4x4 double cab,toyota,pickup,8 cylinders,full-size,4wd
avalanche,chevrolet,truck,8 cylinders,full-size,fwd
corvette,chevrolet,coupe,8 cylinders,compact,rwd
explorer,ford,SUV,6 cylinders,mid-size,4wd
beetle,volkswagen,coupe,4 cylinders,compact,fwd
accord,honda,sedan,4 cylinders,full-size,fwd
encore,buick,SUV,4 cylinders,compact,fwd
cc 2.0t - leather and heated seats - bluetooth -,volkswagen,sedan,4 cylinders,mid-size,fwd
prius,toyota,sedan,4 cylinders,mid-size,fwd
fusion energi plug-in,ford,sedan,4 cylinders,mid-size,fwd
mdx,acura,SUV,6 cylinders,mid-size,4wd
camaro,chevrolet,coupe,6 cylinders,compact,rwd
4runner sr5,toyota,SUV,6 cylinders,mid-size,rwd
legacy 2.5i premium,subaru,sedan,4 cylinders,mid-size,4wd
mustang ecoboost premium,ford,convertible,4 cylinders,full-size,rwd
tundra 4wd truck,toyota,pickup,8 cylinders,full-size,4wd
duramax,chevrolet,truck,8 cylinders,full-size,4wd
highlander sport,toyota,SUV,6 cylinders,mid-size,fwd
mazda3 touring,mazda,sedan,4 cylinders,compact,fwd
frontier,nissan,truck,6 cylinders,full-size,4wd
f150 xlt,ford,pickup,8 cylinders,full-size,rwd
2500 mega cab 2wd,ram,truck,6 cylinders,full-size,rwd
150 d,ford,van,8 cylinders,full-size,rwd
equinox,chevrolet,SUV,4 cylinders,full-size,fwd
odyssey,honda,van,6 cylinders,full-size,fwd
slk350,mercedes-benz,convertible,6 cylinders,compact,rwd
express cargo van,chevrolet,van,6 cylinders,full-size,rwd
accord,honda,sedan,4 cylinders,mid-size,fwd
g37 sedan,infiniti,sedan,6 cylinders,mid-size,fwd
tundra 2wd truck,toyota,truck,8 cylinders,mid-size,rwd
tahoe,chevrolet,SUV,8 cylinders,mid-size,rwd
excursion eddie bauer 4 x 4,ford,SUV,8 cylinders,full-size,4wd
sportage lx awd,kia,SUV,4 cylinders,mid-size,4wd
altima,nissan,sedan,6 cylinders,mid-size,fwd
300zx 2+2,nissan,coupe,6 cylinders,compact,rwd
f-650,ford,other,6 cylinders,full-size,rwd
veracruz,hyundai,SUV,6 cylinders,full-size,fwd
camry xle,toyota,sedan,6 cylinders,compact,fwd
cx5 grand touring,mazda,SUV,4 cylinders,mid-size,4wd
patriot latitude,jeep,SUV,4 cylinders,mid-size,4wd
x5 sdrive35i,bmw,SUV,6 cylinders,full-size,rwd
silverado,chevrolet,truck,6 cylinders,sub-compact,4wd
passat tdi,volkswagen,sedan,4 cylinders,full-size,fwd
prius,toyota,sedan,4 cylinders,compact,fwd
s80,volvo,truck,12 cylinders,full-size,rwd
f-250 super duty diesel tr,ford,truck,8 cylinders,full-size,4wd
silverado 1500,chevrolet,pickup,8 cylinders,full-size,rwd
flex limited,ford,SUV,6 cylinders,full-size,rwd
q70l,infiniti,sedan,10 cylinders,compact,4wd
transit connect,ford,van,4 cylinders,mid-size,fwd
grand caravan,dodge,van,6 cylinders,mid-size,fwd
durango awd,dodge,SUV,6 cylinders,full-size,4wd
focus,ford,sedan,4 cylinders,full-size,fwd
z3,bmw,convertible,6 cylinders,compact,rwd
3 series 335i,bmw,sedan,6 cylinders,mid-size,rwd
sienna,toyota,van,6 cylinders,full-size,fwd
gx470 4wd,lexus,SUV,8 cylinders,full-size,4wd
wrangler unlimited sport s,jeep,SUV,6 cylinders,full-size,4wd
savana 3500 utility van,gmc,van,8 cylinders,full-size,rwd
"is 250 c , convertible",lexus,convertible,6 cylinders,compact,rwd
e350,mercedes-benz,coupe,6 cylinders,full-size,rwd
eldorado biarritz,cadillac,coupe,8 cylinders,full-size,rwd
city express,chevrolet,van,4 cylinders,mid-size,fwd
tucson gl,hyundai,SUV,4 cylinders,compact,fwd
dakota slt crew cab,dodge,truck,8 cylinders,full-size,4wd
mks,lincoln,sedan,6 cylinders,full-size,fwd
7-series,bmw,sedan,8 cylinders,compact,rwd
wrangler unlimited sahara,jeep,SUV,6 cylinders,full-size,4wd
f-350,ford,truck,8 cylinders,full-size,4wd
camry le,toyota,sedan,6 cylinders,mid-size,fwd
1500 4x4 quad cab,ram,truck,8 cylinders,full-size,4wd
x3 sport,bmw,SUV,6 cylinders,compact,4wd
rav4,toyota,SUV,4 cylinders,mid-size,4wd
300c hemi,chrysler,sedan,8 cylinders,full-size,rwd
2500 suburban,chevrolet,SUV,8 cylinders,full-size,rwd
soul,kia,SUV,4 cylinders,full-size,fwd
impreza outback sport,subaru,hatchback,4 cylinders,compact,fwd
mkz,lincoln,sedan,4 cylinders,full-size,fwd
f550 super duty xlt,ford,truck,8 cylinders,full-size,4wd
corvette,chevrolet,coupe,8 cylinders,full-size,fwd
mazda6,mazda,sedan,4 cylinders,mid-size,fwd
benz ml350,mercedes-benz,SUV,6 cylinders,full-size,4wd
econoline,ford,truck,8 cylinders,full-size,rwd
ats,cadillac,sedan,4 cylinders,full-size,rwd
1500 slt 4x4,ram,pickup,8 cylinders,full-size,4wd
patriot sport,jeep,sedan,4 cylinders,compact,fwd
transit t-350,ford,van,6 cylinders,full-size,rwd
f-350 super duty,ford,truck,8 cylinders,full-size,rwd
xj6 sedan,jaguar,sedan,6 cylinders,full-size,rwd
silverado 1500 lt1 4x4,chevrolet,truck,8 cylinders,full-size,4wd
vue hybrid,saturn,SUV,4 cylinders,mid-size,fwd
1500,ram,truck,8 cylinders,full-size,rwd
3-series,bmw,convertible,6 cylinders,mid-size,rwd
cherokee latitude,jeep,SUV,4 cylinders,mid-size,fwd
silverado 3500hd,chevrolet,pickup,8 cylinders,full-size,rwd
challenger,dodge,coupe,8 cylinders,mid-size,rwd
milan,mercury,sedan,4 cylinders,mid-size,fwd
128i,bmw,coupe,6 cylinders,compact,rwd
eldorado,cadillac,coupe,8 cylinders,full-size,rwd
sierra 4x4,gmc,truck,6 cylinders,full-size,4wd
wrangler,jeep,SUV,6 cylinders,compact,4wd
grand caravan,dodge,mini-van,6 cylinders,full-size,fwd
promaster 1500,ram,van,6 cylinders,full-size,fwd
b2500,mazda,truck,4 cylinders,mid-size,rwd
yukon denali xl,gmc,SUV,8 cylinders,full-size,4wd
645ci,bmw,coupe,8 cylinders,full-size,rwd
accord ex-l,honda,mini-van,6 cylinders,full-size,fwd
accent,hyundai,hatchback,4 cylinders,compact,fwd
suburban lt,chevrolet,SUV,8 cylinders,full-size,4wd
f250 supercab xlt lariat,ford,pickup,8 cylinders,full-size,4wd
silverado z71,chevrolet,truck,8 cylinders,full-size,4wd
1500 4x4,ram,pickup,8 cylinders,full-size,4wd
f150 fx4 4x4,ford,truck,8 cylinders,full-size,4wd
explorer sport,ford,SUV,6 cylinders,mid-size,rwd
silverado 1500,chevrolet,truck,10 cylinders,full-size,rwd
sierra 3500 duramax diesel,gmc,truck,8 cylinders,full-size,4wd
e350 box truck,ford,truck,8 cylinders,full-size,rwd
civic lx,honda,SUV,6 cylinders,mid-size,4wd
econoline e250,ford,van,8 cylinders,full-size,rwd
cr-v lx,honda,SUV,4 cylinders,sub-compact,fwd
4runner,toyota,SUV,4 cylinders,full-size,4wd
f-150 xlt supercab,ford,truck,8 cylinders,full-size,4wd
3,mazda,hatchback,4 cylinders,compact,fwd
corolla xse,toyota,sedan,4 cylinders,full-size,fwd
avalanche,chevrolet,truck,8 cylinders,full-size,rwd
rav4,toyota,SUV,4 cylinders,compact,fwd
4runner,toyota,SUV,6 cylinders,full-size,fwd
f-250,ford,truck,8 cylinders,full-size,4wd
murano platinum awd,nissan,SUV,6 cylinders,full-size,4wd
accent,hyundai,hatchback,4 cylinders,mid-size,fwd
mkz,lincoln,sedan,6 cylinders,mid-size,rwd
3500 drw diesel tradesman,ram,pickup,6 cylinders,full-size,4wd
civic lx sedan,honda,sedan,4 cylinders,compact,fwd
tahoe z71,chevrolet,SUV,8 cylinders,full-size,4wd
sorento,kia,SUV,6 cylinders,mid-size,4wd
wrangler sport,jeep,other,6 cylinders,full-size,4wd
ranger ext cab,ford,pickup,6 cylinders,mid-size,rwd
pt cruiser touring,chrysler,wagon,4 cylinders,full-size,fwd
town car cartier,lincoln,sedan,8 cylinders,full-size,rwd
accord lx,honda,sedan,4 cylinders,mid-size,fwd
328xi sport,bmw,wagon,6 cylinders,mid-size,4wd
silverado 3500hd,chevrolet,truck,8 cylinders,full-size,rwd
juke,nissan,SUV,4 cylinders,full-size,fwd
explorer,ford,SUV,6 cylinders,full-size,4wd
cx-5,mazda,SUV,4 cylinders,mid-size,fwd
f350,ford,pickup,8 cylinders,full-size,rwd
forte,kia,coupe,4 cylinders,compact,fwd
dakota,dodge,pickup,6 cylinders,mid-size,rwd
sebring convertible,chrysler,convertible,6 cylinders,mid-size,fwd
rx400h,lexus,SUV,6 cylinders,mid-size,4wd
vibe,pontiac,hatchback,4 cylinders,compact,rwd
civic lx,honda,sedan,4 cylinders,mid-size,fwd
f450 f-450 utility,ford,truck,8 cylinders,full-size,rwd
rx350,lexus,SUV,6 cylinders,full-size,fwd
focus st,ford,hatchback,4 cylinders,compact,fwd
yukon sle 1500,gmc,SUV,8 cylinders,full-size,rwd
prelude,honda,coupe,4 cylinders,compact,fwd
rio,kia,sedan,4 cylinders,compact,fwd
3500,ram,truck,8 cylinders,full-size,rwd
town and country,chrysler,mini-van,6 cylinders,full-size,fwd
escape,ford,SUV,4 cylinders,compact,fwd
sierra 3500hd bucket boom,gmc,truck,8 cylinders,full-size,rwd
impala lt,chevrolet,sedan,6 cylinders,full-size,fwd
1 series,bmw,coupe,6 cylinders,sub-compact,rwd
odyssey exl,honda,mini-van,6 cylinders,full-size,fwd
2500,ram,pickup,8 cylinders,full-size,4wd
outlander,mitsubishi,SUV,6 cylinders,full-size,fwd
4runner,toyota,SUV,6 cylinders,full-size,4wd
f250 super duty,ford,pickup,8 cylinders,full-size,4wd
cherokee latitude,jeep,SUV,6 cylinders,mid-size,4wd
2500,chevrolet,truck,8 cylinders,full-size,rwd
maxima,nissan,sedan,6 cylinders,mid-size,fwd
f350 diesels powerstroke,ford,truck,8 cylinders,full-size,4wd
cherokee latitude 4x4,jeep,SUV,4 cylinders,mid-size,4wd
versa,nissan,sedan,4 cylinders,mid-size,fwd
q7 quattro,audi,SUV,8 cylinders,full-size,4wd
s60 2.5t awd,volvo,sedan,5 cylinders,mid-size,4wd
super duty f-550 drw,ford,pickup,8 cylinders,full-size,rwd
m5,bmw,sedan,8 cylinders,full-size,rwd
sierra sle crewcab 4x4,gmc,pickup,8 cylinders,full-size,4wd
cruze lt,chevrolet,sedan,4 cylinders,mid-size,fwd
silverado,chevrolet,truck,8 cylinders,full-size,rwd
altima 3.5,nissan,sedan,6 cylinders,full-size,fwd
grand caravan sxt,dodge,mini-van,6 cylinders,full-size,fwd
expedition limited,ford,SUV,8 cylinders,full-size,4wd
malibu maxx lt,chevrolet,hatchback,6 cylinders,full-size,fwd
mkz,lincoln,sedan,6 cylinders,full-size,fwd
soul,kia,hatchback,4 cylinders,mid-size,fwd
envoy denali,gmc,truck,8 cylinders,full-size,4wd
yukon,gmc,SUV,8 cylinders,full-size,rwd
v70 wagon,volvo,wagon,5 cylinders,mid-size,fwd
cruze ltz rs,chevrolet,sedan,4 cylinders,mid-size,fwd
venza,toyota,SUV,6 cylinders,mid-size,fwd
elantra gt,hyundai,hatchback,4 cylinders,mid-size,fwd
explorer,ford,SUV,6 cylinders,full-size,fwd
yukon denali,gmc,truck,8 cylinders,full-size,4wd
ilx 2.0l,acura,sedan,4 cylinders,compact,fwd
silverado 1500 ls 4dr,chevrolet,truck,8 cylinders,full-size,rwd
e250 cargo van,ford,van,8 cylinders,full-size,rwd
f-150 fx4 4x4,ford,pickup,8 cylinders,full-size,4wd
jetta 2.0l s,volkswagen,sedan,4 cylinders,compact,fwd
sorento lx,kia,SUV,6 cylinders,full-size,fwd
durango rt,dodge,SUV,8 cylinders,mid-size,rwd
prelude,honda,coupe,4 cylinders,sub-compact,fwd
corolla le,toyota,sedan,4 cylinders,full-size,fwd
rx 330,lexus,SUV,6 cylinders,full-size,4wd
tahoe ltz 4wd,chevrolet,SUV,8 cylinders,full-size,4wd
grand caravan,dodge,mini-van,6 cylinders,mid-size,fwd
350z,nissan,coupe,6 cylinders,sub-compact,rwd
f-150,ford,truck,6 cylinders,full-size,rwd
edge,ford,SUV,4 cylinders,mid-size,fwd
transit,ford,van,6 cylinders,full-size,rwd
f150 xlt supercab,ford,pickup,6 cylinders,full-size,4wd
e-250,ford,van,8 cylinders,full-size,rwd
5-series 535i,bmw,sedan,6 cylinders,full-size,rwd
edge,ford,SUV,6 cylinders,full-size,4wd
cx-5,mazda,SUV,4 cylinders,compact,4wd
frontier,nissan,pickup,6 cylinders,mid-size,rwd
sedona,kia,mini-van,6 cylinders,mid-size,fwd
a4 quattro premium plus,audi,sedan,4 cylinders,full-size,4wd
verano,buick,sedan,4 cylinders,mid-size,fwd
dakota sport,dodge,pickup,8 cylinders,mid-size,4wd
sequoia,toyota,SUV,8 cylinders,full-size,rwd
sierra 1500,gmc,truck,8 cylinders,mid-size,4wd
elantra gls,hyundai,sedan,4 cylinders,compact,fwd
rav4 limited,toyota,SUV,4 cylinders,full-size,4wd
eldorado,cadillac,convertible,8 cylinders,full-size,fwd
colorado,chevrolet,pickup,5 cylinders,full-size,4wd
bus,volkswagen,SUV,4 cylinders,full-size,fwd
lw300,saturn,sedan,6 cylinders,mid-size,fwd
x3 3.0si,bmw,SUV,6 cylinders,mid-size,4wd
silverado 1500 4wd,chevrolet,truck,8 cylinders,full-size,4wd
impala ls,chevrolet,sedan,6 cylinders,full-size,fwd
f-350,ford,truck,8 cylinders,full-size,rwd
soul plus,kia,SUV,4 cylinders,mid-size,fwd
3500 diesel,ram,pickup,6 cylinders,full-size,4wd
mustang,ford,convertible,4 cylinders,compact,rwd
2500 slt manual,ram,mini-van,8 cylinders,full-size,rwd
metris passenger van,mercedes-benz,van,4 cylinders,full-size,rwd
super duty f-250,ford,pickup,8 cylinders,full-size,4wd
328d,bmw,sedan,4 cylinders,compact,rwd
econoline e350 rv van,ford,van,8 cylinders,full-size,rwd
savana explorer ltd,gmc,van,8 cylinders,full-size,rwd
mustang gt premium,ford,coupe,8 cylinders,mid-size,rwd
r350 bluetec,mercedes-benz,other,6 cylinders,full-size,4wd
tucson,hyundai,SUV,4 cylinders,mid-size,fwd
ranger,ford,truck,6 cylinders,mid-size,rwd
e150 econoline,ford,van,6 cylinders,full-size,rwd
camry xle,toyota,sedan,4 cylinders,full-size,fwd
jetta,volkswagen,sedan,4 cylinders,compact,fwd
benz c300,mercedes-benz,sedan,6 cylinders,mid-size,fwd
grand cherokee 4x4 v8,jeep,SUV,8 cylinders,full-size,4wd
t100 sr5,toyota,pickup,6 cylinders,full-size,4wd
focus se,ford,sedan,3 cylinders,mid-size,fwd
accord,honda,sedan,4 cylinders,compact,fwd
capri,mercury,hatchback,8 cylinders,mid-size,rwd
colorado,chevrolet,truck,6 cylinders,mid-size,rwd
enclave,buick,SUV,6 cylinders,full-size,4wd
jetta sportwagen,volkswagen,wagon,4 cylinders,compact,fwd
tl w tech pkg,acura,sedan,6 cylinders,full-size,fwd
srx luxury awd,cadillac,SUV,8 cylinders,mid-size,4wd
civic,honda,sedan,4 cylinders,compact,4wd
fiesta,ford,sedan,3 cylinders,compact,fwd
deville sedan,cadillac,sedan,8 cylinders,mid-size,fwd
sorento,kia,SUV,6 cylinders,mid-size,fwd
mazdaspeed3 gt,mazda,hatchback,4 cylinders,mid-size,fwd
f150 4x4,ford,pickup,8 cylinders,full-size,4wd
s60,volvo,sedan,4 cylinders,mid-size,fwd
tacoma,toyota,truck,4 cylinders,sub-compact,4wd
645ci,bmw,convertible,8 cylinders,full-size,rwd
m4,bmw,coupe,6 cylinders,mid-size,rwd
legacy 2.5i limited,subaru,sedan,4 cylinders,mid-size,4wd
300 limited 4dr,chrysler,sedan,6 cylinders,full-size,rwd
captiva sport,chevrolet,SUV,4 cylinders,full-size,fwd
rogue s,nissan,SUV,4 cylinders,compact,fwd
sport trac 4x4 tacoma,ford,pickup,6 cylinders,full-size,4wd
lacrosse,buick,sedan,6 cylinders,full-size,fwd
forte koup,kia,coupe,4 cylinders,compact,fwd
f250,ford,pickup,8 cylinders,full-size,4wd
rs7 4.0t quattro prestige,audi,sedan,8 cylinders,compact,4wd
outback 3.0r l l bean awd,subaru,wagon,6 cylinders,mid-size,4wd
forester (natl),subaru,SUV,4 cylinders,full-size,4wd
soul,kia,SUV,4 cylinders,compact,fwd
tundra,toyota,pickup,8 cylinders,full-size,4wd
rav4,toyota,SUV,4 cylinders,full-size,4wd
e350 cargo van,ford,van,8 cylinders,full-size,rwd
sorento sx awd,kia,SUV,6 cylinders,mid-size,4wd
traverse ltz awd,chevrolet,SUV,6 cylinders,full-size,4wd
edge,ford,SUV,4 cylinders,mid-size,4wd
town country,chrysler,van,6 cylinders,full-size,rwd
ii nova,chevrolet,coupe,8 cylinders,compact,rwd
mdx sh-awd w/tech,acura,SUV,6 cylinders,full-size,4wd
sierra c/k 1500,gmc,truck,8 cylinders,full-size,rwd
cruze ls,chevrolet,sedan,4 cylinders,mid-size,fwd
3-series 328i,bmw,sedan,4 cylinders,compact,rwd
camry le,toyota,sedan,4 cylinders,mid-size,rwd
g35x,infiniti,sedan,6 cylinders,mid-size,4wd
santa fe,hyundai,SUV,4 cylinders,mid-size,fwd
blazer,chevrolet,SUV,6 cylinders,mid-size,4wd
terrain sle,gmc,SUV,4 cylinders,full-size,fwd
escalade,cadillac,SUV,8 cylinders,full-size,rwd
outlander,mitsubishi,SUV,4 cylinders,full-size,fwd
cooper countryman s,mini,hatchback,4 cylinders,compact,fwd
xf,jaguar,sedan,8 cylinders,mid-size,rwd
f350 super duty,ford,truck,8 cylinders,full-size,rwd
